carbons,naive_1,naive_2,naive_3,naive_4,naive_5,canonical_1,canonical_2,canonical_3,canonical_4,canonical_5,breakid_1,breakid_2,breakid_3,breakid_4,breakid_5,smiles_1,smiles_2,smiles_3,smiles_4,smiles_5,molgen_1,molgen_2,molgen_3,molgen_4,molgen_5,sbass_1,sbass_2,sbass_3,sbass_4,sbass_5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,5,5,5,5,5
3,45,45,45,45,45,14,14,14,14,14,45,45,45,45,45,11,11,11,11,11,9,9,9,9,9,45,45,45,45,45
4,504,504,504,504,504,60,60,60,60,60,504,504,504,504,504,32,32,32,32,32,26,26,26,26,26,504,504,504,504,504
5,6890,6890,6890,6890,6890,255,255,255,255,255,6890,6890,6890,6890,6890,88,88,88,88,88,74,74,74,74,74,6890,6890,6890,6890,6890
6,111870,111870,111870,111870,111870,1217,1217,1217,1217,1217,111870,111870,111870,111870,111870,254,254,254,254,254,211,211,211,211,211,111870,111870,111870,111870,111870
7,2107770,2107770,2107770,2107770,2107770,6034,6034,6034,6034,6034,None,None,None,None,None,715,715,715,715,715,596,596,596,596,596,None,None,None,None,None
8,None,None,None,None,None,31533,31533,31533,31533,31533,None,None,None,None,None,2019,2019,2019,2019,2019,1684,1684,1684,1684,1684,None,None,None,None,None
9,None,None,None,None,None,171170,171170,171170,171170,171170,None,None,None,None,None,5703,5703,5703,5703,5703,4745,4745,4745,4745,4745,None,None,None,None,None
10,None,None,None,None,None,968414,968414,968414,968414,968414,None,None,None,None,None,16208,16208,16208,16208,16208,13372,13372,13372,13372,13372,None,None,None,None,None
11,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,45818,45818,45818,45818,45818,37648,37648,37648,37648,37648,None,None,None,None,None
12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,129768,129768,129768,129768,129768,106002,106002,106002,106002,106002,None,None,None,None,None
13,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,367745,367745,367745,367745,367745,298363,298363,298363,298363,298363,None,None,None,None,None
14,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1044291,1044291,1044291,1044291,1044291,839823,839823,839823,839823,839823,None,None,None,None,None
15,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2363661,2363661,2363661,2363661,2363661,None,None,None,None,None